#AUTHID,text,cEXT,cNEU,cAGR,cCON,cOPN
1997_311198.txt,,n,y,n,n,n
1997_378661.txt,,n,n,n,n,y
1997_693196.txt,,y,n,y,n,n
1997_394566.txt,,y,y,y,n,y
1997_677691.txt,,y,n,y,n,n
1997_419343.txt,,y,n,n,y,n
1997_473952.txt,,y,n,y,n,n
1997_904901.txt,,y,n,y,y,y
1997_847162.txt,,y,n,n,y,n
1997_821194.txt,,n,n,y,y,n
1997_339543.txt,,y,n,y,y,y
1997_451062.txt,,y,y,y,n,n
1997_476707.txt,,n,y,n,y,n
1997_490124.txt,,n,n,y,y,n
1997_492073.txt,,n,n,n,n,n
1997_595469.txt,,y,n,y,n,y
1997_597598.txt,,y,y,y,n,y
1997_677293.txt,,y,n,n,y,y
1997_739678.txt,,y,n,n,y,y
1997_754654.txt,,n,y,y,n,y
1997_854291.txt,,y,y,y,y,y
1997_855808.txt,,n,n,n,y,y
1997_858052.txt,,y,n,n,y,n
1997_872282.txt,,y,n,y,y,n
1997_898394.txt,,y,y,n,y,y
1997_953313.txt,,n,y,n,n,n
1997_454962.txt,,n,n,n,n,y
1997_499267.txt,,n,n,n,n,n
1997_732894.txt,,n,n,y,y,n
1997_857525.txt,,y,y,y,n,n
1997_897072.txt,,y,n,n,n,n
1997_913103.txt,,y,y,n,n,y
1997_913224.txt,,n,n,n,n,n
1997_919361.txt,,y,n,n,n,y
1997_938066.txt,,n,n,n,n,y
1997_417075.txt,,y,n,y,y,y
1997_475230.txt,,y,n,y,y,y
1997_497680.txt,,n,y,y,n,y
1997_499606.txt,,n,y,n,y,n
1997_568086.txt,,y,n,y,y,y
1997_572720.txt,,y,n,y,y,y
1997_579130.txt,,n,y,y,n,y
1997_736454.txt,,n,y,n,y,n
1997_752353.txt,,y,n,y,y,n
1997_813369.txt,,n,y,y,y,n
1997_819809.txt,,y,n,n,y,n
1997_831768.txt,,n,n,n,n,y
1997_870133.txt,,n,n,n,n,y
1997_897420.txt,,n,y,n,n,n
1997_934160.txt,,n,y,n,n,y
1997_952275.txt,,n,n,n,y,y
1997_450562.txt,,n,y,n,y,y
1997_491971.txt,,n,y,n,n,y
1997_496933.txt,,y,y,y,n,y
1997_511579.txt,,y,n,y,y,n
1997_597205.txt,,n,y,y,n,n
1997_679495.txt,,n,n,n,n,n
1997_750427.txt,,n,y,n,n,n
1997_750977.txt,,n,n,y,n,n
1997_778356.txt,,y,y,n,y,n
1997_870336.txt,,n,y,n,n,n
1997_890630.txt,,y,y,n,y,n
1997_910659.txt,,n,n,y,y,n
1997_971112.txt,,y,n,y,y,y
1997_992649.txt,,y,n,n,n,y
1997_471070.txt,,n,y,n,n,y
1997_473999.txt,,y,n,n,y,n
1997_650973.txt,,n,n,y,y,n
1997_653713.txt,,n,n,n,y,n
1997_830141.txt,,n,n,y,n,y
1997_835717.txt,,n,y,n,y,y
1997_854391.txt,,y,n,y,n,n
1997_890127.txt,,y,n,y,n,y
1997_913820.txt,,y,y,y,n,y
1997_916622.txt,,y,n,n,y,n
1997_917639.txt,,y,n,y,y,y
1997_950082.txt,,n,n,y,n,n
1997_950779.txt,,y,y,y,n,y
1997_959163.txt,,n,y,y,n,y
1997_976604.txt,,y,n,y,y,n
1997_978989.txt,,y,y,y,y,n
1997_435058.txt,,y,n,y,y,y
1997_452377.txt,,y,y,n,y,n
1997_455853.txt,,n,y,n,y,n
1997_552216.txt,,y,y,y,y,n
1997_595934.txt,,n,y,n,y,n
1997_654932.txt,,y,y,y,n,y
1997_673123.txt,,n,y,y,y,y
1997_714973.txt,,n,y,n,n,y
1997_739542.txt,,y,y,n,y,n
1997_815468.txt,,n,y,n,n,n
1997_819301.txt,,y,y,y,y,n
1997_834761.txt,,y,n,n,n,n
1997_857408.txt,,n,y,n,n,n
1997_917210.txt,,n,y,n,n,n
1997_937003.txt,,y,y,y,n,n
1997_953720.txt,,n,n,n,y,n
1997_954441.txt,,y,y,n,n,y
1997_972805.txt,,y,y,n,y,y
1997_475931.txt,,y,y,y,n,n
1997_551651.txt,,y,y,n,y,n
1997_556474.txt,,y,n,y,y,y
1997_652829.txt,,y,n,y,y,n
1997_678907.txt,,y,n,n,y,n
1997_696460.txt,,y,n,y,n,n
1997_697427.txt,,n,y,y,y,y
1997_733444.txt,,n,y,n,n,n
1997_736254.txt,,y,y,n,n,y
1997_771125.txt,,n,n,n,n,n
1997_797745.txt,,y,n,y,n,n
1997_816150.txt,,n,n,y,n,n
1997_854163.txt,,n,n,n,n,y
1997_877563.txt,,y,n,y,n,n
1997_878492.txt,,n,y,n,y,n
1997_878676.txt,,y,y,y,y,y
1997_892321.txt,,y,n,y,n,n
1997_914301.txt,,n,y,y,y,n
1997_936626.txt,,y,y,n,y,y
1997_453155.txt,,y,n,y,n,n
1997_459891.txt,,y,n,n,y,n
1997_513925.txt,,y,y,y,y,n
1997_571199.txt,,n,n,y,y,n
1997_592869.txt,,y,n,y,y,n
1997_652904.txt,,n,y,n,y,y
1997_736918.txt,,n,y,n,y,y
1997_890898.txt,,n,y,y,y,n
1997_893217.txt,,y,n,y,y,y
1997_896354.txt,,n,y,n,n,y
1997_917937.txt,,y,y,y,y,y
1997_931356.txt,,y,y,y,y,n
1997_416158.txt,,y,y,y,n,n
1997_451854.txt,,n,y,n,n,n
1997_490275.txt,,n,y,n,n,y
1997_519447.txt,,y,y,n,y,y
1997_675485.txt,,y,n,y,n,y
1997_856276.txt,,n,y,n,y,n
1997_898660.txt,,y,y,n,y,y
1997_913139.txt,,n,n,n,y,y
1997_918806.txt,,n,y,n,n,n
1997_957036.txt,,y,n,n,n,n
1997_996255.txt,,n,y,y,n,y
1997_478467.txt,,n,y,n,n,n
1997_596970.txt,,y,y,n,y,n
1997_716840.txt,,y,n,y,n,y
1997_832991.txt,,n,n,y,y,n
1997_835686.txt,,y,y,y,n,y
1997_871531.txt,,n,y,y,y,y
1997_897862.txt,,y,y,y,n,n
1997_917491.txt,,n,y,y,y,y
1997_953451.txt,,y,n,y,y,y
1997_973910.txt,,y,n,y,y,n
1997_396947.txt,,y,n,n,n,y
1997_454257.txt,,n,y,n,y,n
1997_474191.txt,,y,y,n,n,n
1997_558185.txt,,y,y,n,n,y
1997_574472.txt,,n,y,n,n,y
1997_575279.txt,,y,y,y,y,y
1997_658841.txt,,y,n,y,y,y
1997_672345.txt,,y,y,n,n,y
1997_731545.txt,,n,n,y,n,n
1997_736630.txt,,y,n,n,n,y
1997_756297.txt,,n,y,n,n,n
1997_819346.txt,,n,n,n,n,n
1997_859701.txt,,n,y,n,n,y
1997_873493.txt,,n,y,n,y,y
1997_874080.txt,,n,y,n,n,n
1997_878422.txt,,y,y,n,n,y
1997_916538.txt,,y,n,y,y,y
1997_470418.txt,,y,n,n,y,y
1997_479089.txt,,y,n,y,y,n
1997_514574.txt,,y,n,y,y,y
1997_657222.txt,,y,y,n,y,y
1997_674797.txt,,n,n,n,n,y
1997_735082.txt,,n,y,n,y,n
1997_735238.txt,,y,y,y,n,n
1997_819953.txt,,n,n,y,y,y
1997_915687.txt,,y,n,y,y,n
1997_936666.txt,,y,y,n,y,y
1997_956061.txt,,y,n,y,y,n
1997_991545.txt,,n,n,n,y,n
1997_410675.txt,,n,y,y,n,n
1997_579195.txt,,n,n,y,y,y
1997_657978.txt,,n,y,y,y,n
1997_696801.txt,,y,n,y,y,y
1997_697491.txt,,n,y,y,y,n
1997_736368.txt,,y,n,y,n,n
1997_853759.txt,,n,y,y,y,n
1997_856670.txt,,y,n,y,n,y
1997_898021.txt,,n,y,n,y,y
1997_918357.txt,,n,y,y,n,n
1997_991961.txt,,n,n,y,n,y
1997_430172.txt,,n,n,y,y,n
1997_675028.txt,,y,n,n,y,n
1997_696062.txt,,n,y,y,n,y
1997_732418.txt,,y,n,n,n,n
1997_758922.txt,,y,y,n,y,n
1997_798633.txt,,y,y,y,y,n
1997_819345.txt,,y,n,y,y,y
1997_833350.txt,,n,y,n,n,n
1997_911224.txt,,n,y,n,y,y
1997_450911.txt,,n,n,y,n,y
1997_473319.txt,,n,y,y,n,y
1997_597376.txt,,y,n,y,y,n
1997_813079.txt,,n,n,n,y,n
1997_930834.txt,,y,n,n,y,y
1997_992092.txt,,y,y,y,n,n
1997_451038.txt,,n,n,y,y,n
1997_458896.txt,,y,n,y,n,y
1997_477159.txt,,n,n,n,y,n
1997_570131.txt,,y,n,y,y,n
1997_577009.txt,,y,n,n,y,n
1997_736518.txt,,y,y,n,y,y
1997_794682.txt,,y,n,y,y,y
1997_797908.txt,,y,n,y,n,y
1997_897973.txt,,y,y,n,y,y
1997_970131.txt,,n,n,y,y,n
1997_979571.txt,,n,y,n,n,y
1997_456077.txt,,y,y,y,y,n
1997_536654.txt,,y,n,n,y,y
1997_813043.txt,,y,n,y,y,y
1997_830801.txt,,n,y,n,n,n
1997_857069.txt,,y,y,y,y,y
1997_872596.txt,,y,n,y,y,n
1997_878282.txt,,y,n,n,n,n
1997_935249.txt,,y,y,y,n,n
1997_451150.txt,,n,y,n,n,y
1997_477443.txt,,n,y,y,y,n
1997_510841.txt,,n,y,n,n,y
1997_539448.txt,,n,y,n,y,n
1997_578488.txt,,n,y,y,n,y
1997_598253.txt,,y,n,n,y,y
1997_750691.txt,,n,y,y,y,n
1997_790253.txt,,n,y,n,n,y
1997_835938.txt,,n,y,n,y,n
1997_890789.txt,,n,y,y,n,y
1997_891831.txt,,n,n,y,n,n
1997_956235.txt,,n,y,y,y,n
1997_499042.txt,,y,y,y,y,y
1997_512804.txt,,n,y,n,n,n
1997_555388.txt,,y,n,y,n,y
1997_651413.txt,,n,y,y,n,n
1997_758039.txt,,n,n,n,n,n
1997_777805.txt,,y,n,y,n,y
1997_835986.txt,,y,n,y,y,n
1997_872817.txt,,n,n,y,n,n
1997_891464.txt,,n,y,y,n,n
1997_894347.txt,,y,n,n,y,n
1997_899272.txt,,y,y,y,y,n
1997_910412.txt,,n,y,n,n,y
1997_919223.txt,,n,y,y,y,n
1997_935738.txt,,n,n,y,y,y
1997_950322.txt,,n,y,n,n,y
1997_806274.txt,,n,n,n,n,y
1997_964636.txt,,y,y,y,n,n
1997_801472.txt,,n,n,y,n,y
1997_178075.txt,,y,n,y,y,n
1997_255728.txt,,n,n,y,y,n
1997_318159.txt,,y,n,y,y,n
1997_848404.txt,,n,n,n,n,y
1997_887984.txt,,y,y,y,y,y
1997_233350.txt,,n,n,y,y,y
1997_727234.txt,,y,y,y,y,n
1997_634976.txt,,n,n,y,n,n
1997_612557.txt,,n,y,y,y,n
1997_790797.txt,,y,y,y,n,n
1997_731982.txt,,n,n,y,n,n
1997_518093.txt,,n,n,y,y,y
1997_434159.txt,,y,y,n,n,n
1997_435972.txt,,n,n,n,n,n
1997_697536.txt,,y,n,y,y,y
1997_791837.txt,,y,y,y,y,n
1997_030596.txt,,y,y,y,y,y
1997_783160.txt,,y,n,y,y,y
1997_262585.txt,,n,y,n,y,y
1997_070317.txt,,n,n,n,n,n
1997_101670.txt,,y,y,n,n,n
1997_147396.txt,,n,y,n,n,y
1997_369589.txt,,y,n,n,n,y
1997_202481.txt,,n,n,y,y,y
1997_409960.txt,,n,y,n,n,n
1997_053414.txt,,y,n,y,y,y
1997_266831.txt,,y,y,y,n,n
1997_058607.txt,,n,y,n,n,y
1997_012113.txt,,y,n,y,y,n
1997_057160.txt,,y,n,y,y,y
1997_074063.txt,,n,y,n,n,y
1997_165590.txt,,n,n,n,y,n
1997_123854.txt,,y,n,y,n,y
1997_057748.txt,,n,y,n,n,y
1997_012750.txt,,y,n,n,n,y
1997_059580.txt,,y,n,y,y,n
1997_366633.txt,,y,n,y,y,y
1997_071988.txt,,n,n,n,y,y
1997_140292.txt,,y,n,y,y,n
1997_286966.txt,,y,y,n,n,y
1997_161444.txt,,n,n,y,n,y
1997_071933.txt,,y,y,n,y,y
1997_033283.txt,,y,n,y,n,y
1997_160412.txt,,y,y,n,n,n
1997_460592.txt,,y,n,n,y,y
1998_010017.txt,,n,n,n,y,n
1998_012971.txt,,y,n,y,y,n
1998_037552.txt,,n,n,n,y,n
1998_039155.txt,,n,y,y,y,y
1998_045186.txt,,n,y,y,y,y
1998_049174.txt,,y,y,y,y,y
1998_054183.txt,,y,n,y,y,y
1998_059087.txt,,y,y,n,n,y
1998_059964.txt,,y,y,y,y,n
1998_070315.txt,,y,y,y,n,n
1998_074464.txt,,n,y,y,n,y
1998_082105.txt,,n,n,y,y,y
1998_090119.txt,,y,n,y,y,y
1998_092455.txt,,n,y,n,n,n
1998_105169.txt,,n,y,y,n,n
1998_121308.txt,,y,n,y,n,n
1998_125075.txt,,n,y,n,n,n
1998_125780.txt,,n,n,n,y,y
1998_129982.txt,,n,y,n,y,y
1998_160205.txt,,n,y,y,y,n
1998_163952.txt,,n,y,n,y,y
1998_167124.txt,,y,y,y,n,n
1998_172542.txt,,n,y,y,y,y
1998_191094.txt,,n,y,n,n,n
1998_194376.txt,,y,n,n,y,n
1998_200855.txt,,y,y,n,n,y
1998_203337.txt,,y,y,n,y,y
1998_212331.txt,,n,y,y,n,y
1998_219457.txt,,y,y,y,n,n
1998_261656.txt,,y,y,n,y,y
1998_268942.txt,,n,y,y,y,n
1998_320428.txt,,y,n,y,y,y
1998_324101.txt,,n,y,y,n,n
1998_333355.txt,,y,n,n,n,n
1998_350692.txt,,n,y,n,n,n
1998_367064.txt,,y,y,n,n,n
1998_374668.txt,,y,n,y,n,y
1998_392683.txt,,y,n,y,n,y
1998_432472.txt,,y,y,n,n,n
1998_432648.txt,,n,y,n,n,y
1998_439361.txt,,y,n,y,y,n
1998_447523.txt,,n,y,y,n,y
1998_448871.txt,,y,n,y,y,y
1998_449776.txt,,n,y,y,y,n
1998_455323.txt,,n,y,n,y,y
1998_458651.txt,,y,n,n,y,y
1998_458908.txt,,n,y,y,n,y
1998_458998.txt,,y,n,n,y,y
1998_459461.txt,,y,y,y,n,n
1998_463122.txt,,y,n,y,n,y
1998_470852.txt,,n,y,y,n,y
1998_471243.txt,,y,y,y,n,y
1998_472096.txt,,n,y,n,n,n
1998_474113.txt,,n,y,y,y,n
1998_474386.txt,,n,y,y,n,n
1998_475183.txt,,n,y,n,n,y
1998_475235.txt,,n,y,y,y,n
1998_475402.txt,,y,n,n,n,n
1998_475448.txt,,n,n,y,y,y
1998_476356.txt,,y,y,n,n,y
1998_477189.txt,,n,y,y,y,n
1998_477540.txt,,n,n,n,n,y
1998_487593.txt,,n,n,y,y,n
1998_488580.txt,,n,n,n,n,n
1998_491143.txt,,y,n,n,y,n
1998_491167.txt,,n,y,n,n,n
1998_491269.txt,,y,n,n,y,y
1998_491828.txt,,n,y,n,y,n
1998_491851.txt,,y,y,n,y,y
1998_493289.txt,,y,n,y,y,n
1998_493717.txt,,y,n,y,y,n
1998_494559.txt,,y,y,y,y,n
1998_495472.txt,,n,n,y,n,n
1998_496009.txt,,n,y,y,y,n
1998_496110.txt,,n,y,n,y,n
1998_496713.txt,,y,n,y,n,n
1998_496905.txt,,y,y,n,y,n
1998_499467.txt,,n,y,n,y,n
1998_510203.txt,,n,n,y,y,n
1998_511209.txt,,y,n,y,y,n
1998_512626.txt,,n,y,y,y,n
1998_513098.txt,,n,y,y,y,n
1998_514101.txt,,y,n,y,y,n
1998_514882.txt,,n,n,n,n,n
1998_517115.txt,,y,y,y,n,y
1998_518444.txt,,n,n,n,n,n
1998_518720.txt,,n,n,n,y,n
1998_519414.txt,,n,n,n,y,n
1998_519673.txt,,y,y,n,n,n
1998_530331.txt,,y,y,y,n,y
1998_531732.txt,,y,y,y,y,y
1998_534795.txt,,y,n,n,y,n
1998_535096.txt,,n,y,n,n,y
1998_535599.txt,,n,y,y,y,n
1998_535687.txt,,n,y,y,y,y
1998_535986.txt,,n,y,n,y,n
1998_537522.txt,,n,y,n,n,n
1998_538805.txt,,n,y,n,n,y
1998_539712.txt,,n,n,n,y,y
1998_551027.txt,,y,y,y,n,y
1998_551049.txt,,n,y,y,y,n
1998_551340.txt,,n,y,n,y,n
1998_552508.txt,,y,y,y,n,y
1998_556774.txt,,n,y,n,n,y
1998_557358.txt,,y,n,y,y,n
1998_559341.txt,,n,y,y,n,y
1998_559695.txt,,n,n,y,n,n
1998_564982.txt,,n,n,n,y,n
1998_575921.txt,,n,n,y,n,y
1998_576460.txt,,y,n,y,y,y
1998_578140.txt,,y,n,y,n,n
1998_578648.txt,,y,n,n,y,y
1998_578686.txt,,y,n,n,n,y
1998_579133.txt,,n,y,n,n,y
1998_580120.txt,,y,n,y,n,y
1998_590140.txt,,n,y,y,n,n
1998_590709.txt,,y,n,y,n,y
1998_593630.txt,,n,y,y,n,y
1998_596111.txt,,y,n,n,n,y
1998_596135.txt,,y,n,n,n,y
1998_596818.txt,,y,n,n,n,y
1998_596948.txt,,y,y,n,n,n
1998_600217.txt,,n,y,n,y,n
1998_603731.txt,,y,y,n,y,n
1998_613201.txt,,y,n,n,y,n
1998_613453.txt,,n,y,y,y,n
1998_614375.txt,,y,y,y,n,n
1998_623903.txt,,y,y,n,y,y
1998_628315.txt,,y,y,n,n,n
1998_631077.txt,,n,y,n,y,n
1998_631209.txt,,n,y,n,y,n
1998_639546.txt,,y,y,y,y,n
1998_651210.txt,,y,y,n,n,n
1998_652525.txt,,n,n,y,y,y
1998_652588.txt,,n,n,y,y,y
1998_656677.txt,,n,n,y,y,n
1998_658776.txt,,y,n,y,n,y
1998_659134.txt,,y,n,y,n,y
1998_659344.txt,,n,n,n,y,n
1998_659638.txt,,y,n,n,y,y
1998_676910.txt,,y,n,y,y,n
1998_677547.txt,,n,y,y,n,n
1998_679454.txt,,y,n,y,y,n
1998_679951.txt,,y,y,y,n,y
1998_684784.txt,,y,n,y,n,n
1998_690595.txt,,y,y,y,n,y
1998_691770.txt,,y,n,n,y,n
1998_693467.txt,,n,n,y,n,n
1998_694305.txt,,y,n,n,n,y
1998_695943.txt,,y,n,y,y,n
1998_696197.txt,,n,n,y,y,y
1998_711068.txt,,n,n,n,n,n
1998_711712.txt,,y,y,n,n,y
1998_711744.txt,,y,n,n,y,y
1998_711991.txt,,n,n,n,n,n
1998_714052.txt,,n,n,y,n,n
1998_715038.txt,,y,y,n,n,n
1998_727868.txt,,y,y,y,y,y
1998_732702.txt,,n,y,y,n,n
1998_733941.txt,,y,n,y,y,y
1998_735496.txt,,y,n,y,y,y
1998_737632.txt,,y,n,n,y,n
1998_738270.txt,,y,y,y,y,y
1998_749689.txt,,n,y,y,y,y
1998_750868.txt,,n,y,n,y,y
1998_752807.txt,,n,y,y,n,y
1998_759985.txt,,n,n,y,y,n
1998_762608.txt,,n,y,n,n,n
1998_768748.txt,,n,n,y,n,n
1998_769425.txt,,n,y,n,n,n
1998_770914.txt,,n,n,y,y,y
1998_773959.txt,,y,y,y,y,n
1998_775006.txt,,n,y,y,n,y
1998_779688.txt,,n,y,n,n,y
1998_781969.txt,,n,n,n,n,n
1998_789844.txt,,y,y,n,y,n
1998_790525.txt,,n,n,y,y,y
1998_790795.txt,,y,n,n,n,n
1998_793662.txt,,n,n,n,y,y
1998_797096.txt,,n,n,y,y,n
1998_798053.txt,,n,y,y,n,y
1998_798752.txt,,y,y,y,n,n
1998_799973.txt,,y,n,y,y,n
1998_800538.txt,,n,y,y,y,n
1998_804864.txt,,n,y,y,n,y
1998_811576.txt,,n,y,n,n,n
1998_812901.txt,,y,n,y,y,y
1998_812997.txt,,y,n,y,y,y
1998_813876.txt,,y,n,y,y,y
1998_814157.txt,,y,y,y,y,n
1998_815480.txt,,y,n,y,y,y
1998_816501.txt,,n,y,y,n,y
1998_816714.txt,,n,y,y,n,y
1998_817832.txt,,y,n,n,n,y
1998_821722.txt,,y,n,y,n,n
1998_825931.txt,,y,y,y,n,y
1998_830292.txt,,n,y,n,y,y
1998_831618.txt,,y,n,n,y,n
1998_831684.txt,,y,n,y,y,n
1998_834298.txt,,n,y,y,y,n
1998_835664.txt,,y,n,y,y,n
1998_836815.txt,,y,n,n,y,n
1998_845446.txt,,y,n,n,y,y
1998_847657.txt,,y,y,n,y,n
1998_850068.txt,,y,y,n,n,y
1998_853141.txt,,y,y,n,n,n
1998_853629.txt,,n,n,y,n,n
1998_853723.txt,,n,n,n,n,n
1998_856818.txt,,n,y,n,n,y
1998_857433.txt,,n,n,y,n,y
1998_857967.txt,,n,y,y,n,n
1998_858248.txt,,y,n,y,y,n
1998_858684.txt,,y,n,y,y,y
1998_858889.txt,,y,n,y,y,n
1998_859490.txt,,n,y,y,y,n
1998_859548.txt,,n,n,n,y,y
1998_868471.txt,,n,n,n,y,n
1998_870332.txt,,y,n,n,y,n
1998_871365.txt,,n,n,y,y,n
1998_872000.txt,,n,y,y,y,y
1998_872624.txt,,n,n,y,n,y
1998_873811.txt,,y,n,n,y,y
1998_874263.txt,,y,y,y,y,y
1998_876735.txt,,n,n,n,n,y
1998_877067.txt,,n,n,y,n,n
1998_878500.txt,,y,y,y,y,y
1998_889071.txt,,n,y,n,y,n
1998_889934.txt,,y,y,y,y,y
1998_890436.txt,,y,y,y,n,y
1998_891388.txt,,n,y,y,n,y
1998_891505.txt,,y,y,n,n,n
1998_892005.txt,,n,y,n,n,n
1998_892272.txt,,n,y,n,n,n
1998_892603.txt,,y,n,y,y,y
1998_892987.txt,,y,n,y,y,y
1998_893373.txt,,y,n,y,n,n
1998_894005.txt,,y,y,n,n,y
1998_894233.txt,,y,y,n,y,n
1998_895104.txt,,y,y,y,n,n
1998_898988.txt,,y,n,n,n,y
1998_899161.txt,,n,y,n,n,y
1998_899637.txt,,y,n,y,y,y
1998_903636.txt,,y,n,y,y,y
1998_910501.txt,,y,y,n,n,y
1998_911582.txt,,n,n,y,y,y
1998_911801.txt,,n,n,n,y,y
1998_913489.txt,,y,y,y,n,y
1998_914538.txt,,n,y,n,y,n
1998_916137.txt,,y,y,y,y,n
1998_917906.txt,,n,y,n,y,y
1998_918489.txt,,y,n,n,n,n
1998_923736.txt,,n,y,n,y,y
1998_930178.txt,,n,n,n,n,y
1998_930477.txt,,y,y,y,n,n
1998_930531.txt,,y,y,y,y,n
1998_931283.txt,,n,y,n,n,n
1998_932048.txt,,y,n,y,y,n
1998_932105.txt,,y,y,y,n,n
1998_932270.txt,,y,y,n,n,n
1998_932282.txt,,y,y,n,n,y
1998_935951.txt,,n,n,n,n,n
1998_937081.txt,,y,y,n,n,n
1998_937597.txt,,y,y,y,n,n
1998_938927.txt,,n,y,n,n,y
1998_948975.txt,,n,y,n,n,y
1998_951711.txt,,y,n,y,y,n
1998_952325.txt,,n,y,y,n,n
1998_953267.txt,,n,y,n,n,y
1998_953660.txt,,n,y,y,y,y
1998_953943.txt,,y,y,n,n,y
1998_954253.txt,,n,n,y,y,y
1998_955304.txt,,y,n,y,y,y
1998_955635.txt,,n,n,y,n,y
1998_957032.txt,,n,y,y,n,y
1998_957413.txt,,n,n,n,n,y
1998_958207.txt,,n,n,y,n,y
1998_959060.txt,,n,n,y,n,y
